gene	total_expr_left (6OHDA+NDST3)	total_expr_right (6-OHDA)	expr_difference
Dlk1	920	652	268
Slc6a3	190	0	190
Th	187	61	126
Plagl1	671	560	111
Slc18a2	167	72	95
Ttr	99	23	76
Fos	699	639	60
Pnoc	647	587	60
Hs6st2	675	616	59
Cartpt	213	155	58
Col6a1	260	209	51
Tac1	582	533	49
Cacna2d2	300	254	46
Ntsr1	141	98	43
Drd2	232	193	39
En1	60	21	39
Ldlr	190	151	39
Chrna6	62	26	36
Pbx3	1200	1167	33
Vit	104	72	32
Dhcr24	598	568	30
Gpat3	99	69	30
Ret	237	207	30
Sncg	374	345	29
Bmp2	96	70	26
Mrap2	721	695	26
Pitx2	174	148	26
Rtl9	43	17	26
Syt2	162	137	25
C1ql1	176	152	24
Clic6	105	81	24
Ebf3	173	149	24
Enho	159	136	23
Tacr3	106	83	23
Fam131c	472	452	20
Gstp2	57	37	20
C1ql4	137	118	19
Maff	72	53	19
Rec114	79	60	19
Crh	28	10	18
Pth1r	78	60	18
Etnppl	347	330	17
Hist2h2ac	41	24	17
Nat8f5	54	37	17
Carns1	71	55	16
Gabrg1	183	167	16
Gata2	57	41	16
Minar1	85	69	16
Pgr15l	40	24	16
Aanat	27	12	15
Acat2	1092	1077	15
Kctd9	349	334	15
Spag4	265	250	15
Vwa5b2	148	133	15
Atg12	42	28	14
Barhl1	90	76	14
Ddc	59	45	14
Zfp384	33	19	14
Foxa2	47	34	13
Hira	89	76	13
Htr2c	349	336	13
Onecut3	58	45	13
Ppp3r2	54	41	13
Rfc4	24	11	13
Tnfrsf22	52	39	13
Zim1	59	46	13
1700001O22Rik	196	184	12
Adra2b	47	35	12
Aldh1l2	55	43	12
Magel2	146	134	12
Slc27a2	25	13	12
Vegfa	133	121	12
Zfp493	73	61	12
Cep95	100	89	11
Gpr101	239	228	11
Nccrp1	94	83	11
Nrtn	290	279	11
Smndc1	45	34	11
Snx22	76	65	11
Togaram2	20	9	11
Zfp711	92	81	11
Bace2	137	127	10
Bnc2	37	27	10
Doc2a	308	298	10
Dydc2	53	43	10
Ebf2	80	70	10
Gyg	48	38	10
Hcn4	72	62	10
